feature,importance
cat__shift_start_16:04,-0.0
cat__shift_start_15:58,0.0
cat__shift_start_15:55,0.0
cat__shift_start_15:51,0.0
cat__shift_start_15:45,-0.0
cat__shift_start_15:35,-0.0
cat__shift_start_16:11,-0.0
cat__shift_end_18:01,-0.0
cat__shift_end_17:58,-0.0
cat__shift_end_17:57,-0.0
cat__shift_end_17:56,0.0
cat__shift_end_17:55,0.0
cat__shift_end_17:52,0.0
cat__shift_end_17:47,0.0
cat__shift_end_04:29,0.0
cat__shift_end_17:33,-0.0
cat__shift_end_17:31,-0.0
cat__shift_end_17:29,-0.0
cat__shift_end_17:25,0.0
cat__shift_end_17:23,0.0
cat__shift_end_17:20,0.0
cat__shift_end_17:14,-0.0
cat__shift_end_17:01,0.0
cat__shift_end_17:36,-0.0
cat__shift_end_18:56,-0.0
cat__shift_end_18:54,0.0
cat__shift_end_18:52,-0.0
cat__shift_end_18:45,-0.0
cat__shift_end_18:42,0.0
cat__shift_end_18:41,0.0
cat__shift_end_18:36,-0.0
cat__shift_end_18:33,-0.0
cat__shift_end_18:02,-0.0
cat__shift_end_18:25,-0.0
cat__shift_end_18:22,-0.0
cat__shift_end_18:20,-0.0
cat__shift_end_18:18,-0.0
cat__shift_end_18:17,0.0
cat__shift_end_18:15,-0.0
cat__shift_end_18:08,0.0
cat__shift_end_18:03,-0.0
cat__shift_end_18:31,0.0
cat__shift_end_15:18,-0.0
cat__shift_end_15:14,0.0
cat__shift_end_15:10,0.0
cat__shift_end_15:09,-0.0
cat__shift_end_15:08,-0.0
cat__shift_end_15:07,-0.0
cat__shift_end_15:04,0.0
cat__shift_end_14:57,0.0
cat__shift_end_16:54,-0.0
cat__shift_end_14:50,-0.0
cat__shift_end_14:49,0.0
cat__shift_end_14:43,0.0
cat__shift_end_14:42,0.0
cat__shift_end_14:41,0.0
cat__shift_end_14:38,0.0
cat__shift_end_14:35,-0.0
cat__shift_end_14:31,0.0
cat__shift_end_14:54,-0.0
cat__shift_end_16:47,0.0
cat__shift_end_16:46,0.0
cat__shift_end_16:39,-0.0
cat__shift_end_16:34,-0.0
cat__shift_end_16:33,0.0
cat__shift_end_16:29,0.0
cat__shift_end_16:23,-0.0
cat__shift_end_16:16,0.0
cat__shift_end_15:19,0.0
cat__shift_end_16:04,0.0
cat__shift_end_16:01,-0.0
cat__shift_end_15:56,-0.0
cat__shift_end_15:46,0.0
cat__shift_end_15:45,0.0
cat__shift_end_15:34,-0.0
cat__shift_end_15:32,0.0
cat__shift_end_15:23,-0.0
cat__shift_end_16:11,0.0
cat__Worker_id_WKR-007,-0.0
cat__Worker_id_WKR-006,0.0
cat__Worker_id_WKR-005,-0.0
cat__Worker_id_WKR-004,0.0
cat__Worker_id_WKR-002,0.0
num__recent_tip_rate,0.0
num__tip_given,0.0
num__idle_rate_last_shift,0.0
cat__shift_end_19:03,0.0
num__ISI,0.0
num__isi_component,0.0
num__day_of_week_num,0.0
cat__shift_end_22:28,0.0
cat__shift_end_22:25,0.0
cat__shift_end_22:14,-0.0
cat__shift_end_22:06,0.0
cat__shift_end_22:04,0.0
num__accept_rate,-0.0
cat__shift_end_23:18,-0.0
cat__shift_end_23:12,0.0
cat__shift_end_23:11,-0.0
cat__shift_end_23:03,-0.0
cat__shift_end_23:02,0.0
cat__shift_end_23:00,-0.0
cat__shift_end_22:57,0.0
cat__shift_end_22:51,-0.0
cat__Worker_id_WKR-008,0.0
cat__shift_end_22:49,0.0
cat__shift_end_22:47,-0.0
cat__shift_end_22:44,0.0
cat__shift_end_22:41,0.0
cat__shift_end_22:40,-0.0
cat__shift_end_22:29,0.0
cat__Worker_id_WKR-011,0.0
cat__Worker_id_WKR-009,0.0
cat__shift_end_22:50,0.0
cat__shift_end_20:20,0.0
cat__shift_end_20:12,0.0
cat__shift_end_20:11,-0.0
cat__shift_end_20:09,0.0
cat__shift_end_20:07,-0.0
cat__shift_end_20:03,0.0
cat__shift_end_19:57,0.0
cat__shift_end_19:43,-0.0
cat__shift_end_21:51,0.0
cat__shift_end_19:31,-0.0
cat__shift_end_19:25,0.0
cat__shift_end_19:23,-0.0
cat__shift_end_19:21,-0.0
cat__shift_end_19:19,-0.0
cat__shift_end_19:11,-0.0
cat__shift_end_19:08,0.0
cat__shift_end_19:06,-0.0
cat__shift_end_19:35,-0.0
cat__shift_end_21:41,0.0
cat__shift_end_21:35,-0.0
cat__shift_end_21:33,0.0
cat__shift_end_21:30,0.0
cat__shift_end_21:26,0.0
cat__shift_end_21:20,0.0
cat__shift_end_21:15,0.0
cat__shift_end_21:11,-0.0
cat__shift_end_20:21,-0.0
cat__shift_end_21:04,-0.0
cat__shift_end_21:03,-0.0
cat__shift_end_20:58,0.0
cat__shift_end_20:57,-0.0
cat__shift_end_20:46,-0.0
cat__shift_end_20:44,-0.0
cat__shift_end_20:39,-0.0
cat__shift_end_20:24,-0.0
cat__shift_end_21:06,-0.0
cat__shift_end_07:51,-0.0
cat__shift_end_07:50,0.0
cat__shift_end_07:49,-0.0
cat__shift_end_07:42,0.0
cat__shift_end_07:34,0.0
cat__shift_end_07:33,0.0
cat__shift_end_07:32,-0.0
cat__shift_end_07:26,0.0
cat__shift_end_14:23,-0.0
cat__shift_end_07:07,-0.0
cat__shift_end_07:06,-0.0
cat__shift_end_07:00,-0.0
cat__shift_end_06:53,0.0
cat__shift_end_06:52,0.0
cat__shift_end_06:51,-0.0
cat__shift_end_06:48,0.0
cat__shift_end_06:44,0.0
cat__shift_end_07:09,-0.0
cat__shift_end_09:18,-0.0
cat__shift_end_09:11,0.0
cat__shift_end_09:10,-0.0
cat__shift_end_09:08,-0.0
cat__shift_end_09:06,0.0
cat__shift_end_08:55,-0.0
cat__shift_end_08:48,-0.0
cat__shift_end_08:46,0.0
cat__shift_end_08:00,0.0
cat__shift_end_08:39,0.0
cat__shift_end_08:33,-0.0
cat__shift_end_08:29,0.0
cat__shift_end_08:28,-0.0
cat__shift_end_08:27,0.0
cat__shift_end_08:23,0.0
cat__shift_end_08:16,-0.0
cat__shift_end_08:08,0.0
cat__shift_end_08:43,-0.0
cat__shift_end_05:29,0.0
cat__shift_end_05:21,-0.0
cat__shift_end_05:13,-0.0
cat__shift_end_05:06,0.0
cat__shift_end_05:03,0.0
cat__shift_end_05:02,-0.0
cat__shift_end_05:00,0.0
cat__shift_end_04:51,0.0
cat__shift_end_06:43,0.0
cat__shift_end_04:49,-0.0
cat__shift_end_04:48,-0.0
cat__shift_end_04:47,0.0
cat__shift_end_04:45,-0.0
cat__shift_end_04:43,0.0
cat__shift_end_04:42,0.0
cat__shift_end_04:38,-0.0
cat__shift_end_23:22,-0.0
cat__shift_end_04:50,0.0
cat__shift_end_06:35,0.0
cat__shift_end_06:33,0.0
cat__shift_end_06:27,-0.0
cat__shift_end_06:21,0.0
cat__shift_end_06:18,-0.0
cat__shift_end_06:15,0.0
cat__shift_end_06:09,-0.0
cat__shift_end_06:04,0.0
cat__shift_end_05:32,-0.0
cat__shift_end_05:59,-0.0
cat__shift_end_05:58,0.0
cat__shift_end_05:55,-0.0
cat__shift_end_05:54,-0.0
cat__shift_end_05:53,-0.0
cat__shift_end_05:47,-0.0
cat__shift_end_05:36,0.0
cat__shift_end_05:33,0.0
cat__shift_end_06:00,0.0
cat__shift_end_13:18,0.0
cat__shift_end_13:16,-0.0
cat__shift_end_13:13,0.0
cat__shift_end_13:11,0.0
cat__shift_end_13:03,-0.0
cat__shift_end_12:59,0.0
cat__shift_end_12:56,0.0
cat__shift_end_12:53,0.0
cat__shift_end_09:24,-0.0
cat__shift_end_12:50,0.0
cat__shift_end_12:46,0.0
cat__shift_end_12:41,0.0
cat__shift_end_12:35,-0.0
cat__shift_end_12:32,-0.0
cat__shift_end_12:29,0.0
cat__shift_end_12:28,0.0
cat__shift_end_12:15,-0.0
cat__shift_end_12:52,0.0
cat__shift_end_14:21,0.0
cat__shift_end_14:16,0.0
cat__shift_end_14:12,0.0
cat__shift_end_14:04,-0.0
cat__shift_end_14:00,-0.0
cat__shift_end_13:58,-0.0
cat__shift_end_13:56,0.0
cat__shift_end_13:55,0.0
cat__shift_end_13:20,-0.0
cat__shift_end_13:43,-0.0
cat__shift_end_13:41,0.0
cat__shift_end_13:38,-0.0
cat__shift_end_13:36,-0.0
cat__shift_end_13:35,0.0
cat__shift_end_13:34,0.0
cat__shift_end_13:26,-0.0
cat__shift_end_13:21,-0.0
cat__shift_end_13:49,-0.0
cat__shift_end_10:53,-0.0
cat__shift_end_10:47,0.0
cat__shift_end_10:41,0.0
cat__shift_end_10:39,0.0
cat__shift_end_10:32,-0.0
cat__shift_end_10:25,0.0
cat__shift_end_10:24,0.0
cat__shift_end_10:16,0.0
cat__shift_end_12:14,0.0
cat__shift_end_10:09,0.0
cat__shift_end_10:01,-0.0
cat__shift_end_09:54,-0.0
cat__shift_end_09:48,0.0
cat__shift_end_09:41,0.0
cat__shift_end_09:32,-0.0
cat__shift_end_09:27,-0.0
cat__shift_end_09:25,-0.0
cat__shift_end_10:12,-0.0
cat__shift_end_12:09,0.0
cat__shift_end_12:08,-0.0
cat__shift_end_12:02,-0.0
cat__shift_end_11:56,0.0
cat__shift_end_11:55,0.0
cat__shift_end_11:49,-0.0
cat__shift_end_11:46,0.0
cat__shift_end_11:41,-0.0
cat__shift_end_10:56,0.0
cat__shift_end_11:32,-0.0
cat__shift_end_11:28,-0.0
cat__shift_end_11:20,-0.0
cat__shift_end_11:19,0.0
cat__shift_end_11:18,-0.0
cat__shift_end_11:07,-0.0
cat__shift_end_10:59,0.0
cat__shift_end_10:58,-0.0
cat__shift_end_11:38,-0.0
cat__Worker_id_WKR-221,-0.0
cat__Worker_id_WKR-220,0.0
cat__Worker_id_WKR-219,-0.0
cat__Worker_id_WKR-218,0.0
cat__Worker_id_WKR-217,0.0
cat__Worker_id_WKR-216,0.0
cat__Worker_id_WKR-215,0.0
cat__shift_start_09:38,-0.0
cat__Worker_id_WKR-213,0.0
cat__Worker_id_WKR-211,0.0
cat__Worker_id_WKR-209,0.0
cat__Worker_id_WKR-208,0.0
cat__Worker_id_WKR-207,-0.0
cat__Worker_id_WKR-206,-0.0
cat__Worker_id_WKR-204,-0.0
cat__Worker_id_WKR-203,-0.0
cat__Worker_id_WKR-214,-0.0
cat__Worker_id_WKR-240,-0.0
cat__Worker_id_WKR-238,0.0
cat__Worker_id_WKR-237,0.0
cat__Worker_id_WKR-236,0.0
cat__Worker_id_WKR-235,-0.0
cat__Worker_id_WKR-234,0.0
cat__Worker_id_WKR-233,0.0
cat__Worker_id_WKR-232,-0.0
cat__Worker_id_WKR-222,-0.0
cat__Worker_id_WKR-230,-0.0
cat__Worker_id_WKR-229,0.0
cat__Worker_id_WKR-228,-0.0
cat__Worker_id_WKR-227,-0.0
cat__Worker_id_WKR-226,-0.0
cat__Worker_id_WKR-225,-0.0
cat__Worker_id_WKR-224,-0.0
cat__Worker_id_WKR-223,0.0
cat__Worker_id_WKR-231,-0.0
cat__Worker_id_WKR-178,-0.0
cat__Worker_id_WKR-177,-0.0
cat__Worker_id_WKR-176,0.0
cat__Worker_id_WKR-175,0.0
cat__Worker_id_WKR-172,0.0
cat__Worker_id_WKR-171,0.0
cat__Worker_id_WKR-170,0.0
cat__Worker_id_WKR-169,0.0
cat__Worker_id_WKR-202,-0.0
cat__Worker_id_WKR-167,-0.0
cat__Worker_id_WKR-166,0.0
cat__Worker_id_WKR-165,0.0
cat__Worker_id_WKR-164,-0.0
cat__Worker_id_WKR-163,-0.0
cat__Worker_id_WKR-162,0.0
cat__Worker_id_WKR-161,-0.0
cat__Worker_id_WKR-160,-0.0
cat__Worker_id_WKR-168,-0.0
cat__Worker_id_WKR-201,-0.0
cat__Worker_id_WKR-200,0.0
cat__Worker_id_WKR-199,-0.0
cat__Worker_id_WKR-198,-0.0
cat__Worker_id_WKR-197,-0.0
cat__Worker_id_WKR-196,0.0
cat__Worker_id_WKR-193,0.0
cat__Worker_id_WKR-192,0.0
cat__Worker_id_WKR-179,0.0
cat__Worker_id_WKR-190,0.0
cat__Worker_id_WKR-189,-0.0
cat__Worker_id_WKR-188,-0.0
cat__Worker_id_WKR-187,0.0
cat__Worker_id_WKR-185,-0.0
cat__Worker_id_WKR-184,-0.0
cat__Worker_id_WKR-182,0.0
cat__Worker_id_WKR-180,-0.0
cat__Worker_id_WKR-191,-0.0
cat__Worker_id_WKR-300,0.0
cat__Worker_id_WKR-299,0.0
cat__Worker_id_WKR-298,-0.0
cat__Worker_id_WKR-297,-0.0
cat__Worker_id_WKR-296,0.0
cat__Worker_id_WKR-295,-0.0
cat__Worker_id_WKR-294,-0.0
cat__Worker_id_WKR-293,0.0
cat__Worker_id_WKR-241,-0.0
cat__Worker_id_WKR-290,-0.0
cat__Worker_id_WKR-289,0.0
cat__Worker_id_WKR-288,-0.0
cat__Worker_id_WKR-287,-0.0
cat__Worker_id_WKR-286,-0.0
cat__Worker_id_WKR-285,0.0
cat__Worker_id_WKR-284,-0.0
cat__Worker_id_WKR-283,0.0
cat__Worker_id_WKR-292,0.0
cat__Worker_id_WKR-323,-0.0
cat__Worker_id_WKR-321,-0.0
cat__Worker_id_WKR-320,0.0
cat__Worker_id_WKR-319,0.0
cat__Worker_id_WKR-316,0.0
cat__Worker_id_WKR-315,0.0
cat__Worker_id_WKR-314,0.0
cat__Worker_id_WKR-312,0.0
cat__Worker_id_WKR-301,0.0
cat__Worker_id_WKR-310,-0.0
cat__Worker_id_WKR-309,-0.0
cat__Worker_id_WKR-308,-0.0
cat__Worker_id_WKR-307,0.0
cat__Worker_id_WKR-306,0.0
cat__Worker_id_WKR-304,0.0
cat__Worker_id_WKR-303,-0.0
cat__Worker_id_WKR-302,0.0
cat__Worker_id_WKR-311,-0.0
cat__Worker_id_WKR-258,-0.0
cat__Worker_id_WKR-257,0.0
cat__Worker_id_WKR-256,0.0
cat__Worker_id_WKR-255,-0.0
cat__Worker_id_WKR-254,-0.0
cat__Worker_id_WKR-253,-0.0
cat__Worker_id_WKR-252,0.0
cat__Worker_id_WKR-251,-0.0
cat__Worker_id_WKR-282,0.0
cat__Worker_id_WKR-249,-0.0
cat__Worker_id_WKR-248,-0.0
cat__Worker_id_WKR-247,-0.0
cat__Worker_id_WKR-246,-0.0
cat__Worker_id_WKR-245,0.0
cat__Worker_id_WKR-244,-0.0
cat__Worker_id_WKR-243,0.0
cat__Worker_id_WKR-242,-0.0
cat__Worker_id_WKR-250,0.0
cat__Worker_id_WKR-280,0.0
cat__Worker_id_WKR-277,0.0
cat__Worker_id_WKR-276,0.0
cat__Worker_id_WKR-275,-0.0
cat__Worker_id_WKR-274,-0.0
cat__Worker_id_WKR-273,-0.0
cat__Worker_id_WKR-272,0.0
cat__Worker_id_WKR-271,-0.0
cat__Worker_id_WKR-259,-0.0
cat__Worker_id_WKR-268,0.0
cat__Worker_id_WKR-267,0.0
cat__Worker_id_WKR-266,-0.0
cat__Worker_id_WKR-265,-0.0
cat__Worker_id_WKR-264,-0.0
cat__Worker_id_WKR-262,0.0
cat__Worker_id_WKR-261,0.0
cat__Worker_id_WKR-260,0.0
cat__Worker_id_WKR-270,-0.0
cat__Worker_id_WKR-043,0.0
cat__Worker_id_WKR-042,-0.0
cat__Worker_id_WKR-041,-0.0
cat__Worker_id_WKR-039,0.0
cat__Worker_id_WKR-038,0.0
cat__Worker_id_WKR-037,0.0
cat__Worker_id_WKR-036,-0.0
cat__Worker_id_WKR-035,-0.0
cat__Worker_id_WKR-159,0.0
cat__Worker_id_WKR-032,-0.0
cat__Worker_id_WKR-030,-0.0
cat__Worker_id_WKR-029,0.0
cat__Worker_id_WKR-028,-0.0
cat__Worker_id_WKR-027,-0.0
cat__Worker_id_WKR-026,0.0
cat__Worker_id_WKR-025,-0.0
cat__Worker_id_WKR-024,0.0
cat__Worker_id_WKR-033,0.0
cat__Worker_id_WKR-063,-0.0
cat__Worker_id_WKR-062,-0.0
cat__Worker_id_WKR-061,-0.0
cat__Worker_id_WKR-060,0.0
cat__Worker_id_WKR-059,-0.0
cat__Worker_id_WKR-058,-0.0
cat__Worker_id_WKR-057,-0.0
cat__Worker_id_WKR-055,-0.0
cat__Worker_id_WKR-044,-0.0
cat__Worker_id_WKR-053,0.0
cat__Worker_id_WKR-052,0.0
cat__Worker_id_WKR-051,0.0
cat__Worker_id_WKR-050,-0.0
cat__Worker_id_WKR-049,0.0
cat__Worker_id_WKR-048,0.0
cat__Worker_id_WKR-046,0.0
cat__Worker_id_WKR-045,0.0
cat__Worker_id_WKR-054,0.0
cat__shift_end_23:48,-0.0
cat__shift_end_23:47,-0.0
cat__shift_end_23:45,-0.0
cat__shift_end_23:38,-0.0
cat__shift_end_23:36,-0.0
num__current_shift_planning_streak,0.0
num__schedule_streak_days,0.0
num__savings_streak_length,0.0
cat__Worker_id_WKR-022,0.0
num__cancellations,-0.0
num__surge_multiplier,0.0
num__requests_accepted,-0.0
num__requests_received,0.0
num__job_completed_percentage,0.0
num__hours_worked,-0.0
cat__nudge_response_Yes,-0.0
num__month,0.0
num__idle_time_minutes,-0.0
cat__Worker_id_WKR-021,-0.0
cat__Worker_id_WKR-020,-0.0
cat__Worker_id_WKR-018,0.0
cat__Worker_id_WKR-017,-0.0
cat__Worker_id_WKR-015,-0.0
cat__Worker_id_WKR-014,-0.0
cat__Worker_id_WKR-013,-0.0
num__is_weekend,0.0
cat__shift_end_23:49,0.0
cat__did_plan_shifts_in_advance_Yes,0.0
cat__did_plan_shifts_in_advance_No,-0.0
cat__zone_location_New York,-0.0
cat__zone_location_Los Angeles,0.0
cat__zone_location_Houston,0.0
cat__zone_location_Chicago,-0.0
cat__shift_end_23:53,0.0
cat__shift_end_23:51,-0.0
cat__nudge_response_No,0.0
cat__Worker_id_WKR-137,-0.0
cat__Worker_id_WKR-136,-0.0
cat__Worker_id_WKR-135,0.0
cat__Worker_id_WKR-134,-0.0
cat__Worker_id_WKR-133,0.0
cat__Worker_id_WKR-131,-0.0
cat__Worker_id_WKR-130,-0.0
cat__Worker_id_WKR-129,-0.0
cat__Worker_id_WKR-065,-0.0
cat__Worker_id_WKR-127,-0.0
cat__Worker_id_WKR-126,-0.0
cat__Worker_id_WKR-124,-0.0
cat__Worker_id_WKR-123,-0.0
cat__Worker_id_WKR-122,-0.0
cat__Worker_id_WKR-121,-0.0
cat__Worker_id_WKR-120,-0.0
cat__Worker_id_WKR-119,0.0
cat__Worker_id_WKR-128,-0.0
cat__Worker_id_WKR-158,0.0
cat__Worker_id_WKR-157,0.0
